PNG	Name	SpT	SpT2	RB
323.9+02.4 	He 2-123              	wels?                                 	                              	
324.0+03.5 	PM 1-89               	[WO4]pec                              	                              	
324.1+09.0 	ESO 223-10            	O ?                                   	                              	
325.8+04.5 	He 2-128              	emission-line?                        	                              	
325.8-12.8 	He 2-182              	O(H)                                  	                              	
326.0-06.5 	He 2-151              	O(H)                                  	                              	
326.6+05.7 	BMP 1525-4957         	Blue                                  	                              	
326.9+08.2 	MPA 1518-4738         	[WR]?                                 	                              	
327.1-02.2 	He 2-142              	[WC9]                                 	                              	
327.5-02.2 	MPA 1602-5543         	[WR]                                  	                              	
327.8+10.0 	NGC 5882              	Of(H)                                 	                              	
328.8-01.1 	PM 15                 	[WR]?                                 	                              	
328.9-02.4 	He 2-146              	LST                                   	                              	bc-CSPN
329.0+01.9 	Sp 1                  	O(H)                                  	                              	BL1990
329.5-02.2 	WRAY 17-75            	OB                                    	                              	
329.8-02.1 	BMP 1613-5406         	Blue?                                 	                              	
329.9+03.7 	BMP 1548-4936         	wels                                  	                              	
330.2+12.3 	BMP 1521-4228         	Blue                                  	                              	
331.3+16.8 	NGC 5873              	wels                                  	                              	
331.4-03.5 	He 2-162              	O(H)                                  	                              	
331.7-01.0 	Mz 3                  	B0                                    	                              	
331.8-02.3 	MPA 1624-5250         	wels?                                 	                              	
332.4-01.4 	BMP 1622-5144         	Blue                                  	                              	
332.5-16.9 	HaTr 7                	DAO                                   	                              	
332.9-09.9 	He 3-1333             	[WC10]                                	                              	
333.4-04.3 	PMR 3                 	wels                                  	                              	
333.9+00.6 	PMR 5                 	wels                                  	                              	
334.3-09.3 	IC 4642               	absorption lines                      	                              	
334.8-07.4 	He 3-1312             	F(6-7) I                              	B[e]?                         	bc-CSPN
335.5+12.4 	DS 2                  	O(H)                                  	                              	
336.2-06.9 	PC 14                 	[WO4]                                 	                              	
336.3-05.6 	He 2-186              	cont.                                 	                              	
336.5+05.5 	MPA 1611-4356         	[WO3]                                 	                              	
337.4+01.6 	Pe 1-7                	[WC9]                                 	                              	
337.5-05.1 	He 2-187              	OB                                    	                              	
339.9+88.4 	LoTr 5                	G5 III                                	                              	FK1983
341.5+12.1 	Sand 3                	[WC3]                                 	                              	
341.6+13.7 	NGC 6026              	OB                                    	WD/sdO                        	HB2006
341.8+05.4 	NGC 6153              	wels                                  	                              	
342.5-14.3 	Sp 3                  	O3                                    	                              	CB1999
343.5-07.8 	PC 17                 	emission-line                         	                              	
343.6+03.7a	MPA 1644-4002         	Blue                                  	                              	
343.9-05.8 	SB 30                 	wels                                  	                              	
344.6-04.5 	MPA 1723-4419         	Blue                                  	                              	
344.9+03.0 	BMP 1651-3930         	Blue                                  	                              	
345.0-04.9 	Cn 1-3                	emission-line                         	                              	
345.2-08.8 	Tc 1                  	Of(H)                                 	                              	
345.4+00.1 	IC 4637               	O(H)                                  	                              	CB1999
345.5+15.1 	Lo 13                 	O(H)                                  	                              	
346.2-08.2 	IC 4663               	emission-line?                        	                              	
347.4+05.8 	H 1-2                 	wels                                  	                              	
348.0-13.8 	IC 4699               	emission-line                         	                              	
348.4+04.9 	MPA 1655-3535         	[WC]                                  	                              	
349.3-01.1 	NGC 6337              	emission-line                         	M4 V                          	HB2006
349.5+01.0 	NGC 6302              	G V                                   	                              	bc-CSPN
349.7+04.0 	PPA 1702-3509         	[WR]?                                 	                              	
350.1-03.9 	H 1-26                	[WC4-5]                               	                              	
350.9+04.4 	H 2-1                 	[WC11]                                	O(H)                          	
351.1+04.8 	M 1-19                	wels?                                 	                              	
351.5-06.5 	SB 34                 	[WO2]                                 	                              	
351.7-06.6 	SB 35                 	wels                                  	                              	
352.1+05.1 	M 2-8                 	[WO3]                                 	                              	
352.9+11.4 	K 2-16                	[WC11]                                	                              	
352.9-07.5 	Fg 3                  	cont.                                 	                              	
354.7-03.9 	MPA 1748-3530         	Blue?                                 	                              	
355.2-02.5 	H 1-29                	[WC4]                                 	                              	
355.3+03.8 	MPA 1719-3043         	Blue                                  	                              	
355.4-04.0 	Hf 2-1                	[WO]                                  	                              	
355.7-03.5 	H 1-35                	emission-line?                        	                              	
355.9+03.6 	H 1-9                 	[WC11]                                	                              	
355.9-04.2 	M 1-30                	wels                                  	                              	
355.9-04.4 	K 6-32                	[WR]?                                 	                              	
